MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,10ppb_2,100ppb_1,100ppb_2,250ppb_1,250ppb_2,250ppb_3,250ppb_4,500ppb_1,500ppb_2,1000ppb_1,1000ppb_2,m/z,Retention Time,Mass,Ionization mode
3268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,195.77501,1,1,179.43219,1,1,1,1,1,1,1,1,1,1,168.7952,168.7952,58.06545151,9.240864,57.05817551,Esi+
174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1091.0004,1212.4932,960.021,855.3134,1,1,1,1,1,1,1,1,1,1,1,903.57697,1,1,1,1,1,615.77826,666.35693,638.09827,522.0698,1,1,1,1,1,1,1,1,1,1,1,1,61.00808652,0.7318255,60.00081052,Esi+
1656,301.16437,238.65865,1,172.99602,124.241974,185.96703,1,126.823105,172.96233,142.18542,108.34602,151.76581,1,124.848045,158.36009,1,154.1734,1,152.28131,116.609276,1,128.06255,1,137.65839,1,104.11684,1,168.83298,114.57462,1,1,1,1,131.19362,1,1,124.75299,1,1,186.35593,116.801285,242.66692,1,149.98123,110.991875,647.5779,647.5779,494.74332,494.74332,406.00397,171.5949,146.74963,114.577896,385.40845,385.40845,314.1869,314.1869,69.03398487,6.4335365,68.02670887,Esi+
5893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,104.3297,1,1,1,1,1,109.01788,1,1,1,1,1,119.79414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,133.53526,1,1,133.29007,133.29007,128.04254,128.04254,119.27144,1,1,1,1,1,123.18534,123.18534,69.07038602,14.98131,68.06311002,Esi+
173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,298.82367,1,1,1,1,1,409.64713,508.5211,399.44125,395.11523,1,1,1,1,1,1,421.12173,1,317.91895,1,1,431.5586,1,1,1,1,1,1,1,309.71576,248.12126,1,1,1,1,1,1,1,1,1,1,1,1,70.01330258,0.7314286,69.00602658,Esi+
5956,1,1,1,1,1,1,1,1,1,118.99494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,123.98371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111.83502,1,1,1,1,1,73.02903529,15.086275,72.02175929,Esi+
147,1,1,1,1,1,2153.7058,2237.2195,2192.9155,2524.6787,2526.2092,2315.8623,2546.0142,2680.6711,2531.8616,1,1,1,2120.8962,2236.7292,2077.471,3691.93,3838.0454,3206.8962,2829.643,3147.4817,2789.028,595.4007,630.7267,545.3452,2672.8347,2771.5244,2418.6758,2264.5154,2528.1143,2184.8452,2971.1372,3094.8862,2586.4512,529.87866,567.54803,445.56586,1839.5756,1,1917.177,1,1,1,1,1,1,1,1,1,1,1,1,1,73.5326545,0.72971183,72.5253785,Esi+
172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,730.4822,777.78784,1,574.55865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,421.35156,342.01654,1,1,1,1,1,1,1,1,1,1,1,1,74.03329647,0.7313212,73.02602047,Esi+
153,1,1,1,1,1,357.2657,344.21005,1,1,1,411.93134,395.1087,1,391.2978,1,1,161.9366,319.12775,1,361.65714,577.9222,603.7676,507.56042,461.249,498.96475,448.63382,90.092255,1,87.54463,428.4785,452.78043,370.6755,1,396.54327,371.82526,447.75906,462.1319,402.8112,82.156975,116.29089,67.765465,1,291.1757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74.53165027,0.73043126,73.52437427,Esi+
2633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,561.7157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81.03406867,8.221785,80.02679267,Esi+
