MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,100ppb_1,250ppb_1,500ppb_1,1000ppb_1,10ppb_2,100ppb_2,500ppb_2,1000ppb_2,250ppb_2,250ppb_3,250ppb_4,m/z,Retention Time,Mass,Ionization mode
16,1,1,1,1,1,212.73552,219.34872,281.90924,221.2685,248.72163,214.2259,242.11006,318.33566,342.4138,1,1,1,1,253.82516,1,287.05722,412.3387,347.5727,278.27313,353.55814,339.57358,1,1,1,269.50406,305.74353,265.1876,238.98248,295.77087,280.3127,277.0126,316.07498,312.39313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86.99327011,0.820615,88.00054611,Esi-
97,1060.3883,1,1468.8896,2660.218,1198.4237,900.1573,1856.4471,1,1629.8142,1,3759.2708,2697.5913,1550.9102,2276.3447,3398.5586,2640.9841,2326.5679,1775.7096,1986.4924,1,1,1446.644,3586.179,1,5742.782,1210.672,2446.036,2605.1956,1961.6882,1491.55,2004.7794,1,1380.3123,1090.6395,1459.1161,1379.0665,1,2324.6565,1118.1552,1,2835.0273,1791.8285,3270.8782,3327.1106,3122.3787,1884.4099,3270.5608,2535.286,2279.2485,5719.1035,1884.4099,3270.5608,2279.2485,5719.1035,4900.734,1849.4922,6822.686,91.00316049,0.91303396,92.01043649,Esi-
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,209.75368,212.25703,180.59227,1,1,1,1,303.348,1,1,1,303.348,1,1,1,94.98040041,0.7934577,95.98767641,Esi-
1,161.67311,165.13751,1,226.00417,190.04971,536.9274,1,674.2639,1,1,1,350.51727,1,1,281.19662,1,1,1,551.8158,595.1093,612.47784,1,1,444.80466,510.6707,492.66638,1,1,1,513.4891,588.152,556.91174,427.8828,1,419.2544,1,1,448.1824,1,308.66074,1,1,459.31158,449.60175,400.95248,1,1,289.77725,415.13852,344.72598,1,1,415.13852,344.72598,376.95416,362.514,349.58624,96.95968371,0.7513462,97.96695971,Esi-
145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1542.404,1762.6078,1751.5037,1595.8528,1,1,182.84534,809.9107,1528.6545,1,1,809.9107,1528.6545,262.19272,203.02667,210.11903,97.0513967,3.9514084,98.0586727,Esi-
1295,1,125.68733,271.06577,156.83487,131.1424,1,125.36701,1,1,1,115.395775,1,249.38063,165.4249,1,1,1,116.5426,1,130.66055,159.6585,324.5848,197.77075,1,1,1,192.18248,134.23718,240.94135,1,1,1,1,123.11365,244.88184,1,1,122.37857,1,329.0888,166.1713,1,1,257.39154,142.21881,1,99.73905,122.435265,1,1,1,99.73905,1,1,91.884995,79.51799,1,101.0603315,17.369766,102.0676075,Esi-
94,1,1,1,1,117.364716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,368.1613,464.33774,384.34708,265.60638,185.55399,206.33057,334.29993,380.86398,419.21677,185.55399,206.33057,380.86398,419.21677,293.27454,313.62543,169.04974,102.948691,0.90111786,103.955967,Esi-
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,172.8067,1,1,157.51865,1,1,1,1,167.69254,1,1,1,167.69254,1,1,1,102.9556163,0.8211985,103.9628923,Esi-
65,1,1,1,1,1,1364.2494,1352.9524,1464.0328,1036.1,1161.8453,1288.1744,915.0169,1026.9735,1057.328,1320.4177,1397.4991,1418.6804,946.7203,1051.9323,1101.0836,862.1691,842.69916,872.9943,806.8578,794.25385,804.62213,1,1,1,896.1336,1118.5164,981.0456,966.28625,1059.5734,979.81976,764.20703,810.58936,738.25006,1,1,1,1158.0063,1160.6069,1179.6036,1059.0746,3057.2788,3057.3604,2771.3071,2019.6405,512.5753,3057.2788,3057.3604,2019.6405,512.5753,3137.0269,3326.3855,2927.5317,112.9851267,0.84762627,113.9924027,Esi-
1215,962.08105,3771.2983,1978.8232,1248.8431,1309.8801,1734.1141,1514.6075,801.34033,1201.1746,2072.9626,1124.5399,552.1166,939.8784,3098.859,1476.6844,1507.4249,6525.1055,793.11005,2294.854,1070.1876,568.0161,2158.836,1826.658,1820.735,1,1106.3031,936.6288,658.81757,901.29846,1782.2533,1,898.2942,1,1805.4169,1006.78906,1765.1188,2867.0913,2769.5178,1570.3209,2937.806,881.53705,2791.5408,3775.6445,3802.4448,3231.7024,1388.6384,1260.9884,3498.983,2477.6038,3493.484,1388.6384,1260.9884,2477.6038,3493.484,1291.3718,4790.5825,3487.1045,112.9851266,16.318214,113.9924026,Esi-
45,1,1,1,45.41766,1,614.19385,765.33624,783.4157,507.52942,688.5524,735.2901,636.98065,866.0519,803.88837,1,289.05383,287.4435,473.51053,575.05554,588.2644,865.12805,1058.6555,882.7933,726.8045,872.6887,823.82965,174.12314,223.29404,231.2931,710.25525,783.4678,780.3192,665.943,825.071,736.0916,800.24536,870.0631,750.877,215.40501,240.94833,1,1,1,404.16473,327.01288,166.69136,1,1,1,1,166.69136,1,1,1,1,1,1,114.9885401,0.8282972,115.9958161,Esi-
93,144.36635,1,1,149.6035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,432.91272,1,1,499.3159,219.51453,224.96613,216.55046,718.94257,1207.4032,219.51453,224.96613,718.94257,1207.4032,247.55927,308.06998,279.8659,115.0029998,0.842107,116.0102758,Esi-
53,1,1,1,1,1,1,1,1,1,97.5833,92.1561,70.30528,83.6522,112.384026,37.249252,1,1,1,1,1,114.01871,1,137.31026,83.18436,107.97956,91.43297,1,1,22.41665,76.88164,75.99033,109.31447,99.10786,113.213066,1,1,106.925446,94.6193,1,1,1,1,1,1,48.146706,1,1,1,1,1,1,1,1,1,1,1,1,115.989189,0.84523934,116.996465,Esi-
46,1,1,1,1,1,87.036835,122.815384,148.00984,69.53824,1,94.414345,1,118.078766,177.05713,1,55.509693,37.639206,79.99863,109.0804,81.48437,142.56346,171.1801,168.38902,1,1,130.0126,1,33.588192,41.80823,1,144.87311,121.27041,88.15026,97.2484,99.373856,106.5986,170.28873,123.934006,1,28.280815,1,1,57.413654,49.50537,1,1,1,1,1,1,1,1,1,1,1,1,1,116.9859859,0.8367458,117.9932619,Esi-
159,1,1,1,1,1,754.0714,853.8175,833.1206,1153.2985,1283.3425,1452.0807,1204.5249,1359.1965,1403.2318,1,1,1,1,1,1,665.67474,1,1,1,1,1,1,1,1,1,1,1,1,1,558.3728,549.3884,1,543.97614,1,1,1,377.16833,1,493.79175,1,1,1,1,1,1,1,1,1,1,1,1,1,118.04055,4.653813,119.047826,Esi-
15,1,1,1,1,1,1,1,108.10254,1,118.252335,120.61783,1,1,123.57048,1,1,1,1,126.93053,1,1,173.53099,182.90863,121.76637,190.05527,103.488304,1,1,1,123.863396,145.43318,1,112.14604,117.453445,1,1,126.25086,97.477325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118.9657435,0.82061833,119.9730195,Esi-
200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,595.0802,616.8817,668.03345,598.8741,1,1,1,1,1,1,1,1,1,1,1,1,119.0862912,5.267913,120.0935672,Esi-
1086,1,1,1,1,1,1,1,1,1,1,171.17355,258.5306,1,1,1,1,1,1,1,147.50235,233.28226,1,1,215.67941,1,1,213.23401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,208.71092,1,1,1088.7582,637.8349,523.6011,444.37897,359.4076,1088.7582,637.8349,444.37897,359.4076,1,1,1,120.9960081,13.239759,122.0032841,Esi-
110,1,128.84982,1,1,1,1,1,1,108.28861,143.35243,126.79526,1,231.67233,259.547,110.962135,134.79134,120.59185,1,132.32933,138.63612,1,117.57873,1,186.17326,226.83704,206.24176,1,189.97534,174.83151,149.47311,128.67784,1,1,127.94797,1,137.6118,124.681076,1,217.61263,215.07947,188.7202,156.3917,1,1,1,304.49606,260.7595,249.94537,184.17024,1,304.49606,260.7595,184.17024,1,251.85,267.08218,229.32263,121.0289627,2.2734203,122.0362387,Esi-
158,1,1,1,84.6173,1,834.73773,830.3421,879.2674,693.3148,763.8297,851.43866,740.6214,761.50726,753.8,1,175.34802,146.18475,527.0435,602.4503,686.0601,1139.4624,1195.503,1211.0315,910.906,981.1314,999.13434,128.16061,1,1,502.8387,559.0137,612.83325,537.09265,1,460.06436,553.63416,558.4051,473.12454,1,113.04538,1,511.3113,567.8694,648.1762,574.88776,190.33551,147.64146,125.334404,81.93913,1,190.33551,147.64146,81.93913,1,137.64494,141.9451,1,121.0290129,4.6447864,122.0362889,Esi-
1035,808.7058,793.4652,916.52496,831.4886,777.3403,1616.3344,2017.8473,1891.1841,1553.0582,1854.7518,1835.9395,1558.9391,1914.1904,1910.7043,1289.131,1599.5565,1510.2937,1371.8534,1763.3336,1758.9667,1630.4915,2038.4885,1866.1287,1468.1653,1877.998,1777.0596,1001.5568,1228.9214,1144.7898,1812.5472,2187.7769,1933.0138,1750.1384,2008.2634,1898.759,1858.752,2121.7012,1916.1862,1184.9998,1328.3583,1294.4537,8461.746,9454.167,10393.696,9353.375,1612.8805,2114.966,2804.5525,4171.1475,6863.5654,1612.8805,2114.966,4171.1475,6863.5654,3036.4255,3353.139,2963.7886,121.0654427,12.647788,122.0727187,Esi-
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,122.035361,3.39145,123.042637,Esi-
