# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C23H40N2O3,2.14E+07,8.27E+07,9.70E+07,1.75E+07,5.19E+07,2.59E+07,1.32E+07,6.36E+07,3.84E+07,1.64E+07,7243564,2.06E+07,1.71E+07,3.28E+07,1.55E+07,3.06E+07,3.38E+07,2.29E+07,1.99E+07,1.09E+07,1.92E+07,1.91E+07,1.87E+07,2.78E+07,2.37E+07,2.59E+07,2.33E+07,3.34E+07,2.67E+07,2.58E+07,2.54E+07,3.14E+07,2.92E+07,2.60E+07,2.33E+07,2.24E+07,3.11E+07,2.39E+07,2.55E+07,2.69E+07,3.34E+07,3.24E+07,3.10E+07,2.42E+07,2.61E+07,2.89E+07,1.06E+08,2.93E+07,2.57E+07,3.23E+07,2.99E+07,,"C23H40N2O3 [ C23 H40 N2 O3, tgt=, overall=82.86, db=82.86 ]",,,C23H40N2O3,FindByFormula,C23 H40 N2 O3,51,Esi-,392.3016,"(391.2944, 1406839.1)(392.2972, 363238.78)(393.297, 79641.08)(394.2972, 12547.7)",12.536006
C9H16O4,101465,105896,55424,3.96E+07,3.83E+07,4.19E+07,3.91E+07,2.56E+07,3.96E+07,3.86E+07,3.38E+07,3.75E+07,3.75E+07,3.42E+07,3.20E+07,1.56E+07,5.08E+07,3.79E+07,4.57E+07,2.87E+07,5.08E+07,3.64E+07,4.21E+07,4.21E+07,3.07E+07,3.26E+07,2.93E+07,3.26E+07,4.09E+07,1.44E+07,2889477,5.58E+07,8462328,1.04E+07,1.24E+07,3.72E+07,1.29E+07,1.51E+07,1.00E+07,3.26E+07,3.92E+07,5.13E+07,4.94E+07,5.31E+07,5.03E+07,5.32E+07,5.01E+07,6.21E+07,4.42E+07,4.16E+07,5489934,,"C9H16O4 [ C9 H16 O4, tgt=, overall=93.34, db=93.34 ]",,,C9H16O4,FindByFormula,C9 H16 O4,51,Esi-,188.1075,"(375.2077, 8091.38)(376.2104, 1676.48)(377.2147, 292.59)(187.0987, 2818310.8)(188.1022, 245156.73)(189.1036, 26742.7)(190.1063, 1912.33)",6.875
C20H44O2P2,3949501,2.47E+07,1.42E+08,2.80E+07,3.68E+07,3.67E+07,2.43E+07,3.87E+07,3.98E+07,3.95E+07,4.14E+07,2.77E+07,3.87E+07,3.67E+07,3.99E+07,1.71E+07,4.02E+07,4.27E+07,1.97E+07,4.23E+07,4.20E+07,3.78E+07,3.69E+07,4.20E+07,3.01E+07,4.57E+07,3.58E+07,1.67E+07,7924856,1.08E+07,3.28E+07,1.59E+07,2.08E+07,2.47E+07,2.92E+07,2.83E+07,8326055,2.30E+07,7225261,3.44E+07,3.47E+07,3.27E+07,1.71E+07,1.56E+07,1.84E+07,2.87E+07,4.15E+07,4.11E+07,3.20E+07,1.94E+07,2.17E+07,,"C20H44O2P2 [ C20 H44 O2 P2, tgt=, overall=81.43, db=81.43 ]",,,C20H44O2P2,FindByFormula,C20 H44 O2 P2,51,Esi-,378.2855,"(377.2756, 1720570.8)(378.2784, 398744.78)",12.528009
C19H28N4,17704,21300,22068,92440,54730,108308,35327,32306,170217,134901,33111,210126,44596,37919,58455,62688,58596,1,97673,40483,167740,25864,84094,41414,39470,23851,47762,4853127,5312368,238713,181740,415457,247322,357068,133580,228189,279347,224777,964082,349694,197357,2097303,1140043,3629328,4660851,104195,7856078,68229,5779341,1177451,753624,,"C19H28N4 [ C19 H28 N4, tgt=, overall=83.57, db=83.57 ]",,,C19H28N4,FindByFormula,C19 H28 N4,50,Esi-,312.2316,"(623.4581, 13333.87)(624.4613, 5389.84)(311.2263, 853352.4)(312.2292, 159205.31)(313.232, 18728.98)(314.2352, 1982.65)",11.114006
660.5236@12.161005,39344,79930,90897,641929,220477,895355,436275,245490,411695,526394,526607,517944,1080596,944460,641840,1427066,1091757,1140052,708571,314736,1007992,707812,969406,1520418,732541,1060698,930326,1060667,1544712,5218542,303823,590391,7346649,2970632,1815067,1532649,5744074,2841109,5466678,734181,1236104,2027280,2117576,4909013,2907159,478730,71120,792499,556621,1894447,2188466,,,,,660.5236@12.161005,FindByFormula,,51,Esi-,660.5236,"(659.5163, 474552.4)(660.519, 220022.8)(661.5199, 61231.98)(662.5203, 13048.91)",12.161005
C16H36N2O7,4860859,5221798,4404036,1700739,6568091,1797986,5511156,1256410,5801820,2201471,1676488,2170690,1873009,5933112,2756385,6272625,4067429,2266357,2363221,3728798,3443458,6472418,6688052,2507024,3514647,2083922,2548883,2965434,4128218,2938769,2834257,178198,2833184,1445783,1040538,5282147,5483506,2369128,4628336,4015039,4403249,4009155,2152490,2752304,3422704,4883785,5527503,1408635,4922880,2315413,2642726,,"C16H36N2O7 [ C16 H36 N2 O7, tgt=, overall=75.18, db=75.18 ]",,,C16H36N2O7,FindByFormula,C16 H36 N2 O7,51,Esi-,368.2592,"(367.2466, 215385.45)(368.2492, 47437.1)",12.539997
1331.1248@14.219993,5593166,1,1,6017813,5211791,4317999,333929,89320,3404688,3099097,2778840,208549,163025,1116954,824745,555096,456261,287308,282515,285266,49022,224428,149096,166482,214122,204949,211008,179684,117168,124018,1,149282,62094,104791,104097,82423,128090,93459,85010,1,52446,107029,91008,61952,61068,74388,114556,167530,112141,102134,140243,,,,,1331.1248@14.219993,FindByFormula,,51,Esi-,1331.1248,"(1330.0946, 20720.54)(1331.0974, 21490.66)(1332.0983, 13225.51)(1333.0979, 6094.92)",14.219993
C18H24N6O6,29527,31158,1,3623332,3475642,3607399,3424930,2808360,3553010,3601801,3441653,3510698,3559778,3447441,3301449,2234109,3984783,3573355,3886701,2974529,3966083,3473523,3737732,3862223,3293208,3325648,3208713,3014140,3155552,1970652,592693,3729013,1425785,1652682,1856996,3312475,1936944,2120224,1723831,3243473,3501507,3861087,3810946,3727736,3717051,3742014,3566362,4059693,3490029,3503929,1054542,,"C18H24N6O6 [ C18 H24 N6 O6, tgt=, overall=96.14, db=96.14 ]",,,C18H24N6O6,FindByFormula,C18 H24 N6 O6,51,Esi-,210.089,"(419.1686, 146207.98)(420.1716, 26192.65)(421.1736, 4362.21)(422.1766, 541.62)(209.0807, 124489.7)(210.0838, 12009.14)(211.0872, 1348.45)",6.8680015
C2HF3O2,4545295,4856648,4788267,5489542,5877091,5722037,6047756,6286785,6161397,6476458,6195510,6272612,6220489,5100402,6176100,6301460,6641150,6664962,6242800,5697102,4309553,5292924,6074578,4686115,5717257,4738011,5913634,4763595,5485585,5454196,4205112,4826141,5352043,6720785,4743920,7180956,5155808,5799890,5017205,4915436,5015131,4998713,5278265,6203506,6635461,5070236,4741344,4224498,5878243,4717596,5382985,,"C2HF3O2 [ C2 H F3 O2, tgt=, overall=87.99, db=87.99 ]",,,C2HF3O2,FindByFormula,C2 H F3 O2,51,Esi-,113.9929,"(112.9856, 261774.25)(113.9891, 5432.87)",15.643996
C11H14N4,25045,24060,1,2662817,2437919,2847489,2517023,1461669,2557195,2407023,2146729,2507223,2171718,1920600,1772171,1500954,4149128,2689662,3074364,1718012,3729583,2528124,3218636,3457355,1852412,2012597,1858117,1907367,3084522,727757,156189,4813096,387294,511812,724413,2515323,563993,703490,471748,2340758,3061697,4638091,4417302,4757716,3984683,4303756,4134004,5802354,3203994,3022829,219392,,"C11H14N4 [ C11 H14 N4, tgt=, overall=95.52, db=95.52 ]",,,C11H14N4,FindByFormula,C11 H14 N4,51,Esi-,202.1223,"(201.115, 558060.9)(202.118, 57132.13)(203.12, 6402.57)",7.8080044
