# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C11H14O4,198320,209037,203678.5,4.77E+07,4.66E+07,5.01E+07,4.78E+07,3.52E+07,4.63E+07,4.83E+07,4.45E+07,4.82E+07,4.86E+07,4.68E+07,4.35E+07,2.50E+07,5.81E+07,4.80E+07,5.52E+07,3.96E+07,5.87E+07,4.70E+07,5.16E+07,5.25E+07,4.17E+07,4.19E+07,4.18E+07,4.06E+07,4.55E+07,5.36E+07,5.41E+07,5.51E+07,5.59E+07,5.49E+07,5.43E+07,6.06E+07,5.04E+07,4.80E+07,7643991,2.02E+07,2.17E+07,1.62E+07,3.98E+07,4.61E+07,2.07E+07,3942516,5.65E+07,1.28E+07,1.44E+07,1.76E+07,4.40E+07,,"C11H14O4 [ C11 H14 O4, tgt=, overall=96.32, db=96.32 ]",,,C11H14O4,6.9049993,"(211.0966, 2915301.2)(212.0997, 258329.12)(213.1019, 26561.97)(214.1048, 2054.93)(421.1871, 280921.97)(422.1897, 47430.0)(423.192, 7729.28)",210.0876,Esi+,C11 H14 O4,50,FindByFormula
C27H44,234848,54236,144542,3894656,4274381,4915560,4142206,4308598,3789509,4019712,4040516,4403211,4500479,4008988,4295132,4885973,3495429,3237786,3027761,3425025,4030521,3568661,4080102,4218282,4118758,4135380,3546879,4680839,5859062,5005743,1.05E+07,6608190,7722601,1030428,2386127,2656278,3630687,2549172,6949034,3.86E+07,1.04E+07,1.62E+07,9209512,1.79E+07,4.35E+07,319369,2208722,2.56E+07,3.53E+07,2654095,3535708,,"C27H44 [ C27 H44, tgt=, overall=97.61, db=97.61 ]",,,C27H44,14.2769985,"(369.3509, 2390603.8)(370.3544, 652776.9)(371.3569, 76704.92)(372.3598, 6774.73)",368.3428,Esi+,C27 H44,50,FindByFormula
C14H16N6O2,1.08E+07,1.12E+07,11000000,8795054,9224489,8799676,6649393,1.02E+07,6966368,1.75E+07,7216560,9772866,6873643,7042945,7457450,1.02E+07,8307191,9534681,1.07E+07,7680029,9688886,7211220,9597644,6842347,7382791,9919233,7291657,3.08E+07,6246345,5250997,5871442,5595442,7470239,6575757,6697952,6300881,7395393,3.71E+07,6772121,8482193,6584905,6654542,6178992,2.93E+07,1.00E+07,1.06E+07,4008290,5572168,7924825,6354368,1.02E+07,,"C14H16N6O2 [ C14 H16 N6 O2, tgt=, overall=97.77, db=97.77 ]",,,C14H16N6O2,10.703002,"(301.1411, 2542864.5)(302.1444, 400951.72)(303.1462, 42869.65)(304.1489, 3855.47)",300.1304,Esi+,C14 H16 N6 O2,50,FindByFormula
C20H36N6O2,395025,355395,375210,242039,771432,425069,2845977,1270572,354183,2.24E+07,202467,131882,547420,253053,369957,828892,239090,260230,503862,111735,390890,589675,423359,514507,1563093,79080,216628,2884967,292597,431144,257283,749933,419069,278777,4586418,335977,2076865,698474,233792,162707,161542,594648,4827695,1524878,2998127,1356038,1860486,4912487,175078,361320,1.68E+07,,"C20H36N6O2 [ C20 H36 N6 O2, tgt=, overall=97.38, db=97.38 ]",,,C20H36N6O2,12.553998,"(393.2979, 2405746.5)(394.3014, 544416.4)(395.3036, 69692.61)(396.3061, 6956.64)(785.5896, 82313.14)(786.6014, 150335.88)(787.6047, 58362.45)",392.2884,Esi+,C20 H36 N6 O2,50,FindByFormula
C30H38N6O6,1323539,1236161,1279850,875363,733938,694198,769258,1087751,763213,4816276,842320,758600,776315,993875,1120540,823862,642136,773007,772258,867017,770917,837030,801245,793367,892227,1059118,855287,1.69E+07,656312,511097,575879,686701,492651,698014,931133,636789,1068299,2.71E+07,915284,1198702,727144,767948,691528,1.71E+07,731127,843618,321718,527721,1390103,718795,2396464,,"C30H38N6O6 [ C30 H38 N6 O6, tgt=, overall=87.30, db=87.30 ]",,,C30H38N6O6,10.703002,"(579.2952, 2463769.2)(580.2988, 815447.9)(581.3012, 153658.75)(582.3031, 20996.64)(583.3063, 3162.5)",578.2716,Esi+,C30 H38 N6 O6,50,FindByFormula
C27H36F2O5,38195,1,19098,922452,678097,1237549,1250749,733867,1145833,3159441,714941,1003438,1170026,1034393,860594,937876,1180989,864792,1753266,438997,1069138,726116,1104733,1271934,882845,968019,909356,1.76E+07,3907896,6558475,4797066,5221198,4892888,3021293,4054006,4527224,5269882,1.60E+07,2909095,3952503,4457375,3768480,4233695,2.18E+07,6370009,1567129,7269198,6893557,4425330,6496689,4648042,,"C27H36F2O5 [ C27 H36 F2 O5, tgt=, overall=91.56, db=91.56 ]",,,C27H36F2O5,10.853,"(479.2618, 1505421.4)(480.2652, 372352.22)(481.2684, 64864.76)(482.2729, 8706.33)",478.2435,Esi+,C27 H36 F2 O5,50,FindByFormula
C18H38N2O6,198848,232360,215604,3553291,2486321,4012546,2433554,1517133,2544310,3727772,3178952,4159144,4440814,3655905,2708872,5180982,5322657,4400381,4665838,2824762,6691752,3472912,5036963,6859586,3168377,3300044,3775007,1.20E+07,1.32E+07,1.98E+07,1.10E+07,1.05E+07,9546889,9551550,1.45E+07,1.55E+07,1.05E+07,1.00E+07,7148397,5772704,3597329,4074944,5215120,6051544,7456291,1792729,2089924,5893392,7766631,9445403,6473576,,"C18H38N2O6 [ C18 H38 N2 O6, tgt=, overall=90.51, db=90.51 ]",,,C18H38N2O6,12.351007,"(379.2783, 1576453.6)(380.2817, 331799.0)(381.2843, 42905.98)(382.2872, 4495.67)",378.2731,Esi+,C18 H38 N2 O6,50,FindByFormula
C8H15N2P,45677,42600,44138.5,1.36E+07,1.32E+07,1.43E+07,1.40E+07,9031842,1.33E+07,1.43E+07,1.24E+07,1.40E+07,1.38E+07,1.31E+07,1.19E+07,5830492,1.94E+07,1.43E+07,1.69E+07,1.05E+07,1.84E+07,1.32E+07,1.49E+07,1.50E+07,1.09E+07,1.20E+07,1.11E+07,1.09E+07,1.28E+07,1.62E+07,1.58E+07,1.69E+07,1.72E+07,1.68E+07,1.64E+07,1.97E+07,1.47E+07,1.39E+07,1633657,4313757,4746922,3417116,1.07E+07,1.34E+07,4531803,834975,1.70E+07,2646627,3035449,3892698,1.22E+07,,"C8H15N2P [ C8 H15 N2 P, tgt=, overall=95.79, db=95.79 ]",,,C8H15N2P,6.9049993,"(171.1037, 1840872.0)(172.1068, 158870.62)(173.1095, 14332.33)",170.0954,Esi+,C8 H15 N2 P,50,FindByFormula
C14H12O4,5864159,2391986,4128072.5,1.05E+07,7914902,8432591,1.38E+07,6092234,8059951,1.16E+07,7454660,8665105,1.14E+07,8165263,6333699,1.09E+07,1.31E+07,7861743,1.33E+07,4189979,5429381,1.01E+07,6683962,9196475,1.52E+07,6410057,9026390,9469604,1.25E+07,1.17E+07,1.38E+07,1.58E+07,1.44E+07,8455705,1.03E+07,1.55E+07,9682169,1.15E+07,8225811,1.04E+07,1.31E+07,1.08E+07,1.17E+07,1.67E+07,1.12E+07,5360243,1.24E+07,1.67E+07,1.22E+07,1.06E+07,8499569,,"C14H12O4 [ C14 H12 O4, tgt=, overall=95.38, db=95.38 ]",,,C14H12O4,8.548003,"(245.0809, 1592757.1)(246.0839, 181963.38)(247.0858, 19660.77)",244.0739,Esi+,C14 H12 O4,50,FindByFormula
101.9632@15.906005,1.85E+07,1.99E+07,19200000,1.80E+07,1.84E+07,1.86E+07,1.63E+07,1.92E+07,1.65E+07,1.90E+07,1.95E+07,1.94E+07,1.91E+07,1.61E+07,1.93E+07,1.93E+07,1.93E+07,1.64E+07,1.94E+07,1.68E+07,1.93E+07,1.99E+07,1.99E+07,1.90E+07,1.99E+07,1.86E+07,1.64E+07,1.99E+07,2.02E+07,1.94E+07,1.74E+07,1.75E+07,1.74E+07,1.69E+07,1.74E+07,1.97E+07,1.69E+07,1.75E+07,1.74E+07,1.78E+07,1.69E+07,1.72E+07,1.75E+07,1.68E+07,1.69E+07,1.71E+07,1.68E+07,1.68E+07,1.63E+07,1.69E+07,1.69E+07,,,,,101.9632@15.906005,15.906005,"(102.9705, 906425.25)(103.9739, 9286.69)(104.9708, 6287.56)",101.9632,Esi+,,50,FindByFormula
