Sample Sequence,Sample Group
MB1,Blank
53_T1,Sample
53_T2,Sample
53_T3,Sample
54_T1,Sample
54_T2,Sample
54_T3,Sample
55_T1,Sample
55_T2,Sample
55_T3,Sample
56_T1,Sample
56_T2,Sample
56_T3,Sample
57_T1,Sample
57_T2,Sample
57_T3,Sample
58_T1,Sample
58_T2,Sample
58_T3,Sample
59_T1,Sample
59_T2,Sample
59_T3,Sample
60_T1,Sample
60_T2,Sample
60_T3,Sample
MB2,Blank
49_T1,Sample
49_T2,Sample
49_T3,Sample
50_T1,Sample
50_T2,Sample
50_T3,Sample
51_T1,Sample
51_T2,Sample
51_T3,Sample
52_T1,Sample
52_T2,Sample
52_T3,Sample
48_T1,Sample
48_T2,Sample
48_T3,Sample
45_T1,Sample
45_T2,Sample
45_T3,Sample
46_T1,Sample
46_T2,Sample
46_T3,Sample
47_T1,Sample
47_T2,Sample
47_T3,Sample
MB3,Blank
