Chemical_Name,Formula ,Ionization_Mode,Monoisotopic_Mass,Retention_Time
13C6 Methyl paraben,C8H8O3,Esi-,158.0684,2.3325
13C6 Butyl paraben,C11H14O3,Esi-,200.1156,7.283
13C4 Perfluorooctanoic acid (PFOA),C8HF15O2,Esi-,417.9871,8.7255
13C5 Perfluorononanoic acid,C9HF17O2,Esi-,468.9876,9.787
13C4 15N2 Fipronil,C12H4Cl2F6N4OS,Esi-,441.9470,9.787
13C4 Perfluorooctanesulfonic acid (PFOS),C8HF17O3S,Esi-,503.9512,9.8455
13C4 15N2 Fipronil sulfone,C12H4Cl2F6N4O2S,Esi-,457.9421,10.6245
13C2 Perfluorodecanoic acid,C10HF19O2,Esi-,515.9742,10.724
D6 Acephate,C4H10NO3PS,Esi+,189.0493,0.525
D3 Thiamethoxam,C8H10ClN5O3S,Esi+,294.0384,0.848
13C3 Atrazine,C8H14ClN5,Esi+,218.1038,5.4
D3 Pyriproxyfen,C20H19NO3,Esi+,325.1610,11.685
